<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240221;095937;7080.000000000;2;9672765360;B
20240221;095937;7080.000000000;2;9672765361;B
20240221;095937;7080.000000000;7;9672765362;B
20240221;095937;7080.000000000;18;9672765363;B
20240221;095937;7080.000000000;1;9672765364;B
20240221;095937;7080.000000000;1;9672765365;B
20240221;095937;7080.000000000;1;9672765366;B
20240221;095937;7080.000000000;1;9672765367;B
20240221;095937;7080.000000000;1;9672765368;B
20240221;095937;7080.000000000;1;9672765369;B
20240221;095937;7080.000000000;1;9672765370;B
20240221;095937;7080.000000000;1;9672765371;B
20240221;095937;7080.000000000;1;9672765372;B
20240221;095937;7080.000000000;3;9672765373;B
20240221;095937;7080.000000000;2;9672765374;B
20240221;095937;7080.000000000;1;9672765375;S
20240221;095937;7080.000000000;2;9672765376;S
20240221;095937;7080.000000000;3;9672765377;B
20240221;095937;7080.000000000;1;9672765378;B
20240221;095937;7080.000000000;1;9672765379;B
20240221;095937;7080.000000000;1;9672765380;B
20240221;095937;7080.000000000;2;9672765381;B
20240221;095937;7080.000000000;2;9672765382;B
20240221;095937;7080.000000000;1;9672765383;B
20240221;095937;7080.000000000;2;9672765384;B
20240221;095937;7080.000000000;20;9672765385;B
20240221;095937;7080.000000000;50;9672765386;B
20240221;095937;7080.000000000;3;9672765387;B
20240221;095937;7080.000000000;10;9672765388;B
20240221;095937;7080.000000000;4;9672765389;S
20240221;095937;7080.000000000;1;9672765390;S
20240221;095937;7080.000000000;1;9672765391;S
20240221;095937;7080.000000000;1;9672765392;B
20240221;095937;7080.000000000;1;9672765393;B
20240221;095937;7080.000000000;30;9672765394;B
20240221;095937;7080.000000000;10;9672765395;B
20240221;095937;7080.000000000;4;9672765396;B
20240221;095937;7080.000000000;35;9672765397;B
20240221;095937;7080.000000000;2;9672765398;B
20240221;095937;7080.000000000;15;9672765399;B
20240221;095937;7080.000000000;85;9672765400;B
20240221;095937;7080.000000000;15;9672765401;B
20240221;095937;7080.000000000;85;9672765402;B
20240221;095937;7080.000000000;2;9672765403;B
20240221;095937;7080.000000000;13;9672765404;B
20240221;095937;7080.000000000;17;9672765405;B
20240221;095937;7080.000000000;4;9672765406;B
20240221;095937;7080.000000000;14;9672765407;B
20240221;095937;7080.000000000;30;9672765408;B
20240221;095937;7080.000000000;5;9672765409;B
20240221;095937;7080.000000000;4;9672765410;B
20240221;095937;7080.000000000;26;9672765411;B
20240221;095937;7080.000000000;4;9672765412;B
20240221;095937;7080.000000000;1;9672765413;B
20240221;095937;7080.000000000;95;9672765414;B
20240221;095937;7080.000000000;2;9672765415;B
20240221;095937;7080.000000000;10;9672765416;B
20240221;095937;7080.000000000;47;9672765417;B
20240221;095937;7080.000000000;3;9672765418;B
20240221;095937;7080.000000000;60;9672765419;B
20240221;095937;7080.000000000;4;9672765420;S
20240221;095937;7080.000000000;1;9672765421;S
20240221;095937;7080.000000000;5;9672765422;S
20240221;095937;7080.000000000;1;9672765423;S
20240221;095937;7080.000000000;1;9672765424;S
20240221;095937;7080.000000000;1;9672765425;S
20240221;095937;7080.000000000;1;9672765426;S
20240221;095937;7080.000000000;1;9672765427;S
20240221;095937;7080.000000000;1;9672765428;S
20240221;095937;7080.000000000;10;9672765429;S
20240221;095937;7080.000000000;1;9672765430;S
20240221;095937;7080.000000000;1;9672765431;S
20240221;095937;7080.000000000;5;9672765432;S
20240221;095937;7080.000000000;1;9672765433;S
20240221;095937;7080.000000000;1;9672765434;S
20240221;095937;7080.000000000;1;9672765435;S
